"word"	"count"
"aaa"	26
"aaron"	91
"abandon"	170
"abbey"	30
"abbi"	40
"abc"	129
"abduct"	24
"abid"	41
"abil"	414
"abl"	1452
"abnorm"	24
"aboard"	52
"abort"	124
"abound"	22
"about"	14761
"abov"	688
"abraham"	40
"abroad"	70
"abrupt"	23
"absenc"	100
"absent"	48
"absolut"	571
"absorb"	81
"abstract"	60
"absurd"	58
"abt"	65
"abund"	76
"abus"	338
"abv"	25
"academ"	211
"academi"	188
"acceler"	50
"accent"	107
"accept"	749
"access"	481
"accessori"	78
"accid"	285
"accident"	83
"acclaim"	29
"accommod"	107
"accompani"	131
"accomplish"	276
"accord"	1294
"account"	906
"accumul"	50
"accur"	136
"accuraci"	30
"accus"	315
"accustom"	33
"ace"	81
"ach"	63
"achiev"	407
"acid"	91
"acknowledg"	239
"acl"	25
"acoust"	51
"acquaint"	43
"acquir"	142
"acquisit"	70
"acr"	141
"across"	933
"act"	1231
"acta"	26
"action"	852
"activ"	824
"activist"	133
"actor"	321
"actress"	120
"actual"	2019
"acut"	27
"adam"	375
"adapt"	170
"add"	1263
"addict"	256
"addit"	713
"address"	569
"adel"	54
"adequ"	57
"adher"	55
"adjac"	37
"adjust"	227
"admin"	31
"administ"	39
"administr"	626
"admir"	172
"admiss"	133
"admit"	507
"adob"	39
"adolesc"	34
"adopt"	292
"ador"	240
"adorn"	35
"adrian"	36
"adult"	484
"advanc"	428
"advantag"	310
"adventur"	316
"advers"	55
"advertis"	283
"advic"	387
"advis"	189
"advisor"	51
"advisori"	61
"advoc"	193
"advocaci"	57
"aesthet"	48
"afc"	30
"affair"	181
"affect"	435
"affili"	90
"affirm"	51
"afford"	339
"afghan"	103
"afghanistan"	173
"aforement"	22
"afraid"	290
"africa"	187
"african"	204
"africanamerican"	54
"after"	6748
"aftermath"	36
"afternoon"	593
"afterward"	129
"again"	2877
"against"	2074
"age"	1095
"agenc"	575
"agenda"	141
"agent"	434
"aggrav"	62
"aggress"	170
"agil"	28
"agit"	26
"ago"	1593
"agre"	1080
"agreement"	318
"agricultur"	76
"aha"	44
"ahaha"	30
"ahead"	511
"ahh"	77
"aid"	332
"ailment"	25
"aim"	234
"aint"	453
"air"	825
"aircraft"	73
"airlin"	195
"airplan"	70
"airport"	349
"airway"	28
"aisl"	57
"aka"	125
"akin"	36
"akron"	54
"ala"	81
"alabama"	98
"alan"	77
"alarm"	147
"alaska"	60
"albeit"	46
"albert"	94
"album"	642
"albuquerqu"	30
"alcohol"	277
"aldridg"	61
"ale"	195
"alec"	37
"alert"	143
"alex"	215
"alexand"	99
"alexandria"	22
"alfr"	25
"algebra"	24
"ali"	54
"alic"	67
"alien"	121
"align"	58
"alik"	86
"aliv"	296
"all"	16607
"allah"	32
"allamerican"	22
"alleg"	387
"allen"	204
"allerg"	24
"allergi"	69
"alley"	74
"alli"	136
"allianc"	89
"alloc"	36
"allot"	30
"allow"	1471
"allstar"	100
"alltim"	53
"allur"	26
"alma"	24
"almond"	69
"almost"	1468
"alon"	607
"along"	1430
"alongsid"	74
"alot"	128
"alpha"	43
"alphabet"	36
"alreadi"	1856
"alright"	189
"also"	6552
"alter"	123
"altern"	298
"although"	862
"alto"	38
"altogeth"	41
"alum"	28
"aluminum"	28
"alumni"	58
"alway"	3222
"alzheim"	44
"amanda"	73
"amar"	34
"amateur"	53
"amaz"	1604
"amazon"	179
"amazoncom"	26
"ambassador"	62
"amber"	58
"ambit"	45
"ambiti"	64
"ambul"	42
"amen"	135
"amend"	180
"america"	823
"american"	1697
"ami"	139
"amid"	89
"amidst"	27
"ammunit"	25
"among"	899
"amongst"	63
"amount"	605
"amp"	38
"ampl"	26
"ampm"	25
"amsterdam"	29
"amus"	103
"ana"	41
"anaheim"	37
"analog"	35
"analys"	22
"analysi"	185
"analyst"	255
"analyt"	44
"analyz"	76
"anc"	42
"ancestor"	45
"anchor"	82
"ancient"	117
"and"	120234
"anderson"	134
"andi"	146
"andor"	146
"andr"	53
"andrea"	54
"andrew"	255
"android"	110
"anecdot"	24
"angel"	691
"angela"	49
"anger"	166
"angl"	102
"angri"	231
"ani"	4706
"anim"	687
"anita"	26
"ankl"	100
"ann"	260
"anna"	98
"anni"	60
"anniversari"	251
"announc"	863
"annoy"	312
"annual"	525
"anonym"	103
"anoth"	3343
"answer"	1128
"ant"	54
"anthem"	44
"antholog"	27
"anthoni"	197
"anti"	24
"antibiot"	33
"anticip"	184
"antiqu"	92
"antonio"	94
"anxieti"	108
"anxious"	77
"anybodi"	255
"anyhow"	22
"anymor"	400
"anyon"	1546
"anyth"	1722
"anytim"	134
"anyway"	570
"anywher"	237
"apart"	565
"api"	24
"apocalyps"	23
"apolog"	263
"apostl"	44
"app"	442
"appal"	44
"appar"	504
"apparel"	36
"appeal"	388
"appear"	1228
"appet"	57
"appetit"	67
"appl"	502
"applaud"	39
"applaus"	46
"appli"	469
"applianc"	35
"applic"	387
"appoint"	313
"apprais"	26
"appreci"	712
"apprentic"	30
"approach"	524
"appropri"	236
"approv"	476
"approxim"	109
"appt"	24
"apricot"	22
"april"	1088
"apt"	59
"aquarium"	31
"arab"	115
"arabia"	27
"arbitr"	36
"arbitrari"	26
"arbor"	32
"arc"	48
"arcad"	28
"arch"	63
"archaeolog"	25
"archbishop"	28
"architect"	99
"architectur"	114
"archiv"	115
"arctic"	31
"are"	24526
"area"	1670
"arena"	161
"arent"	662
"argentina"	34
"argu"	370
"arguabl"	37
"argument"	284
"ari"	38
"aris"	61
"ariz"	23
"arizona"	363
"arkansa"	56
"arlington"	39
"arm"	580
"armi"	248
"armor"	41
"armstrong"	45
"arnold"	55
"aroma"	58
"around"	3221
"arrang"	238
"array"	56
"arrest"	548
"arriv"	673
"arrog"	50
"arrow"	40
"arsenal"	50
"art"	1362
"arteri"	39
"artest"	27
"arthur"	52
"artichok"	26
"articl"	601
"articul"	44
"artifact"	28
"artifici"	49
"artisan"	39
"artist"	741
"artwork"	59
"asap"	100
"ascend"	25
"ash"	64
"asham"	56
"ashley"	57
"ashton"	32
"asia"	105
"asian"	175
"asid"	300
"ask"	3042
"asleep"	194
"asparagus"	34
"aspect"	167
"aspir"	83
"ass"	683
"assassin"	43
"assault"	188
"assembl"	243
"assemblyman"	29
"assert"	79
"assess"	206
"asset"	165
"asshol"	80
"assign"	208
"assist"	682
"associ"	752
"assort"	48
"assum"	303
"assumpt"	64
"assur"	150
"asthma"	24
"astonish"	42
"astro"	32
"astronaut"	25
"asylum"	32
"atbat"	47
"ate"	208
"atheist"	29
"athlet"	415
"atl"	47
"atlant"	132
"atlanta"	245
"atleast"	25
"atm"	33
"atmospher"	133
"atom"	43
"atop"	44
"att"	66
"attach"	180
"attack"	754
"attain"	46
"attempt"	612
"attend"	706
"attende"	46
"attent"	643
"attir"	30
"attitud"	254
"attorney"	637
"attract"	405
"attribut"	95
"auburn"	32
"auction"	148
"audienc"	421
"audio"	100
"audit"	207
"auditor"	45
"auditorium"	33
"aug"	146
"august"	319
"aunt"	98
"aurora"	30
"auster"	52
"austin"	413
"australia"	137
"australian"	79
"austria"	22
"authent"	109
"author"	1204
"autism"	69
"auto"	166
"autograph"	62
"autom"	35
"automak"	68
"automat"	126
"automot"	27
"autumn"	66
"avail"	934
"avatar"	36
"ave"	214
"aveng"	203
"avenu"	359
"averag"	645
"averi"	37
"avi"	45
"aviat"	45
"avid"	34
"avocado"	49
"avoid"	461
"avon"	34
"await"	113
"awak"	126
"awaken"	43
"awar"	392
"award"	666
"awardwin"	32
"away"	2346
"awe"	85
"awesom"	1515
"awhil"	89
"awkward"	242
"aww"	123
